DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
2066860-1-DCA,Business,12/31/2021,Active,02/23/2018,Tobacco Retail Dealer,LOS MOROCHOS GROCERY STORE INC,,1973,WALTON AVE,,BRONX,NY,10453,7187165784,Bronx,2,205,14,2008266,2028540024,BX41,241,,-73.9081185651524,40.85165586715717,"(40.85165586715717, -73.9081185651524)"
1316039-DCA,Business,12/31/2021,Active,04/28/2009,Tobacco Retail Dealer,"39 LOTT GROCERY, INC.",,39,LOTT AVE,,BROOKLYN,NY,11212,718-922-9757,Brooklyn,3,316,42,3082435,3036090001,BK81,896,,-73.91256355022074,40.65723249596184,"(40.65723249596184, -73.91256355022074)"
2066719-1-DCA,Business,12/31/2021,Active,02/23/2018,Tobacco Retail Dealer,METRO TOBACCO NY CORP,,1281,ARTHUR KILL RD,,STATEN ISLAND,NY,10312,646-229-9004,Staten Island,5,503,51,5077604,5059000120,SI05,228,,-74.1829037861149,40.565490648966865,"(40.565490648966865, -74.1829037861149)"
2042684-1-DCA,Business,12/31/2021,Active,08/22/2016,Tobacco Retail Dealer,360 DELI CORP,360 DELI,360,W 110TH ST,,NEW YORK,NY,10025,9292134061,Manhattan,1,107,07,1055741,1018450003,MN09,193,,-73.96007719887636,40.801339236353144,"(40.801339236353144, -73.96007719887636)"
1364633-DCA,Business,12/31/2021,Active,05/09/2012,Tobacco Retail Dealer,"HOLLIS NEWS & SNACKS, INC.",124 SUPPLY,20517A,HILLSIDE AVE,,HOLLIS,NY,11423,718-465-1600,Queens,4,408,23,4224410,4105330001,QN06,478,,-73.76009957242317,40.72075209557875,"(40.72075209557875, -73.76009957242317)"
1075571-DCA,Business,12/31/2021,Active,03/29/2001,Tobacco Retail Dealer,SHOP & SMILE GROCERIES INC.,,51,NEPTUNE AVE,,BROOKLYN,NY,11235,718-648-7080,Brooklyn,3,315,48,3246953,3087650095,BK17,608,,-73.95599572240455,40.58275542285715,"(40.58275542285715, -73.95599572240455)"
1041971-DCA,Business,12/31/2021,Active,12/31/2003,Tobacco Retail Dealer,"DITMAS FRUITS & DAIRY, INC.",,124,DITMAS AVE,,BROOKLYN,NY,11218,718-853-9342,Brooklyn,3,312,39,3126999,3053950008,BK88,478,,-73.9776543756928,40.63558250910922,"(40.63558250910922, -73.9776543756928)"
2034772-1-DCA,Business,12/31/2021,Active,03/22/2016,Tobacco Retail Dealer,AIRPORT ENTERPRISES INC,BP,13344,150TH ST,,JAMAICA,NY,11436,718-659-0014,Queens,4,412,28,4263080,4121160001,QN76,788,,-73.78928691351507,40.66764289810592,"(40.66764289810592, -73.78928691351507)"
2066341-1-DCA,Business,12/31/2021,Active,02/20/2018,Tobacco Retail Dealer,CURLY DELI & GROCERY INC,,17302,JAMAICA AVE,,JAMAICA,NY,11432,718-729-4789,Queens,4,412,27,4217534,4102140001,QN61,444,,-73.78655190156964,40.70789277996657,"(40.70789277996657, -73.78655190156964)"
2046253-1-DCA,Business,12/31/2021,Active,12/07/2016,Tobacco Retail Dealer,J & Y SPRINGFIELD DELI AND MINI MARKET CORP,,22314,S CONDUIT AVE,,SPRINGFIELD GARDENS,NY,11413,7184819289,Queens,4,413,31,4287379,4135030005,QN03,680,,-73.75448057197329,40.66547137204526,"(40.66547137204526, -73.75448057197329)"
2006785-1477-DCA,Business,12/31/2021,Active,04/24/2014,Tobacco Retail Dealer,MIDTOWN QUICK MART CORP,,158,E 45TH ST,,NEW YORK,NY,10017,9145741385,Manhattan,1,106,04,1036180,1012990040,MN19,92,,-73.97389737115385,40.75304131772921,"(40.75304131772921, -73.97389737115385)"
2006015-1365-DCA,Business,12/31/2021,Active,04/09/2014,Tobacco Retail Dealer,"MORONTA, JOSE R. DURAN",,501,W 169TH ST,,NEW YORK,NY,10032,212-568-4016,Manhattan,1,112,10,1063031,1021260046,MN36,253,,-73.93667782116982,40.84058097396129,"(40.84058097396129, -73.93667782116982)"
2003115-797-DCA,Business,12/31/2021,Active,01/31/2014,Tobacco Retail Dealer,NEALTICAN DELI GROCERY CORP.,,1225,FLUSHING AVE,,BROOKLYN,NY,11237,718-909-1181,Brooklyn,3,301,34,3070658,3030020012,BK77,453,,-73.92373986983549,40.7077854493441,"(40.7077854493441, -73.92373986983549)"
2079245-1-DCA,Business,12/31/2021,Active,10/18/2018,Tobacco Retail Dealer,RIVINGTON FOODS CORP,RIVINGTON FOODS MARKET PLACE,210,RIVINGTON ST,,NEW YORK,NY,10002,646-478-7535,Manhattan,1,103,02,1004105,1003440069,MN28,2201,,-73.9827708330719,40.71838773242428,"(40.71838773242428, -73.9827708330719)"
2004063-1051-DCA,Business,12/31/2021,Active,02/27/2014,Tobacco Retail Dealer,MYKONOS FOOD CORP,,216,E 175TH ST,,BRONX,NY,10457,718-583-9652,Bronx,2,205,15,2092044,2027970031,BX41,22901,,-73.90689283131948,40.84674734997013,"(40.84674734997013, -73.90689283131948)"
1350615-DCA,Business,12/31/2021,Active,04/16/2010,Tobacco Retail Dealer,NUNEZ COUSINS GROCERY CORP.,,1520,WATSON AVE,,BRONX,NY,10472,718-378-1646,Bronx,2,209,18,2023474,2037140030,BX55,5001,,-73.87843827400462,40.82603945975222,"(40.82603945975222, -73.87843827400462)"
1351705-DCA,Business,12/31/2021,Active,04/26/2010,Tobacco Retail Dealer,"PENA, JUAN B",180 PENA GROCERY,180,W 167TH ST,,BRONX,NY,10452,347-495-5160,Bronx,2,204,16,2003498,2025270168,BX26,193,,-73.92776835124245,40.83796826402377,"(40.83796826402377, -73.92776835124245)"
2008143-1757-DCA,Business,12/31/2021,Active,05/15/2014,Tobacco Retail Dealer,NEW PARK SLOPE GROCERY AND CONVENIENT STORE INC,,597,4TH AVE,,BROOKLYN,NY,11215,347-987-3403,Brooklyn,3,307,38,3008934,3006280072,BK37,143,,-73.99328470533011,40.665000321341566,"(40.665000321341566, -73.99328470533011)"
2015580-1-DCA,Business,12/31/2021,Active,11/17/2014,Tobacco Retail Dealer,MONTERO'S DELI MINI MARKET CORP,,4118,JUNCTION BLVD,,CORONA,NY,11368,917-832-6330,Queens,4,404,21,4039899,4015980012,QN29,465,,-73.86846263532341,40.74711461930981,"(40.74711461930981, -73.86846263532341)"
2034110-1-DCA,Business,12/31/2021,Active,03/08/2016,Tobacco Retail Dealer,EXPRESS GROCERY INC,,22621,MERRICK BLVD,,LAURELTON,NY,11413,718-749-5963,Queens,4,413,31,4279349,4129650015,,,,-73.74367211915735,40.67721195679417,"(40.67721195679417, -73.74367211915735)"
1041533-DCA,Business,12/31/2021,Active,11/30/2000,Tobacco Retail Dealer,"LEE, SANG DUCK",HY-DELI,1990,HYLAN BLVD,,STATEN ISLAND,NY,10306,718-67-0929,Staten Island,5,502,50,5053169,5036660031,SI36,11201,,-74.09818057554347,40.58143733218266,"(40.58143733218266, -74.09818057554347)"
2012073-1-DCA,Business,12/31/2021,Active,08/15/2014,Tobacco Retail Dealer,CIBAO FOOD CENTER CORP,,2059,7TH AVE,,NEW YORK,NY,10027,718-388-2039,Manhattan,1,110,09,1079492,1019070061,MN11,222,,-73.94933776364695,40.80756828822049,"(40.80756828822049, -73.94933776364695)"
2044177-1-DCA,Business,12/31/2021,Active,09/27/2016,Tobacco Retail Dealer,REYES DELI GROCERY CORP.,,676,CASTLE HILL AVE,,BRONX,NY,10473,718-684-4101,Bronx,2,209,18,2021951,2035750032,BX09,90,,-73.84839523556464,40.820646181667605,"(40.820646181667605, -73.84839523556464)"
2033288-1-DCA,Business,12/31/2021,Active,02/16/2016,Tobacco Retail Dealer,CITI LINE TRADING INC,99 CENTS PLUS & DELI GROCERY,21512,91ST AVE,,QUEENS VILLAGE,NY,11428,718-749-5458,Queens,4,413,23,4441707,4106400001,QN34,558,,-73.74512409209214,40.72273732357522,"(40.72273732357522, -73.74512409209214)"
1302623-DCA,Business,12/31/2021,Active,10/20/2008,Tobacco Retail Dealer,"VISHWA NEWS, INC.",,17,BOND ST,,BROOKLYN,NY,11201,718-797-2532,Brooklyn,3,302,33,3329441,3001600007,BK38,37,,-73.9832831978331,40.68919448733588,"(40.68919448733588, -73.9832831978331)"
2080954-1-DCA,Business,12/31/2021,Active,12/27/2018,Tobacco Retail Dealer,SOOTTA SMOKE SHOP CORP,,501,HUDSON ST,,NEW YORK,NY,10014,347-264-4667,Manhattan,1,102,03,1011738,1006300048,MN23,75,,-74.00640102954736,40.73315838094328,"(40.73315838094328, -74.00640102954736)"
1365993-DCA,Business,12/31/2021,Active,08/09/2010,Tobacco Retail Dealer,"HUDSON GROUP (HG) RETAIL, LLC",HUDSON NEWS,1,PENN PLZ,,NEW YORK,NY,10119,2125631030,Manhattan,1,105,03,1014387,1007830070,MN17,101,,-73.99087595619766,40.75065872876379,"(40.75065872876379, -73.99087595619766)"
2045843-1-DCA,Business,12/31/2021,Active,11/22/2016,Tobacco Retail Dealer,VR GROCERY INC,,16010,HILLSIDE AVE,,JAMAICA,NY,11432,718-487-4610,Queens,4,412,24,4208952,4097640060,QN61,44602,,-73.80167881138276,40.70802139211963,"(40.70802139211963, -73.80167881138276)"
2066215-1-DCA,Business,12/31/2021,Active,02/16/2018,Tobacco Retail Dealer,SANTIAGO 2 ORGANIC FOOD CORP.,,4380,BROADWAY,,NEW YORK,NY,10040,646-838-8405,Manhattan,1,112,10,1064037,1021700001,MN35,279,,-73.9336355002379,40.854341220097886,"(40.854341220097886, -73.9336355002379)"
1420299-DCA,Business,12/31/2021,Active,03/01/2012,Tobacco Retail Dealer,STEVE CHU'S DELI & GROCERY INC,,3406,10TH ST,,ASTORIA,NY,11106,718-726-8888,Queens,4,401,26,4003862,4003240031,QN68,39,,-73.93882580238908,40.76457791754841,"(40.76457791754841, -73.93882580238908)"
1250361-DCA,Business,12/31/2021,Active,03/21/2007,Tobacco Retail Dealer,"TRES K DELI, GROCERY, FRUIT AND MEAT INC.",,125,W TREMONT AVE,,BRONX,NY,10453,718-466-5534,Bronx,2,205,14,2008601,2028690058,BX36,243,,-73.91361858586654,40.85004074060992,"(40.85004074060992, -73.91361858586654)"
1269315-DCA,Business,12/31/2021,Active,10/02/2007,Tobacco Retail Dealer,BROOKLYN MINIMART INC.,,1011,FOSTER AVE,,BROOKLYN,NY,11230,718-859-6938,Brooklyn,3,314,40,3128209,3054290030,BK42,482,,-73.9671822482148,40.63210784033442,"(40.63210784033442, -73.9671822482148)"
2004497-1127-DCA,Business,12/31/2021,Active,03/10/2014,Tobacco Retail Dealer,DELI FARMS CORPORATION,,850,LONGWOOD AVE,,BRONX,NY,10459,718-589-4944,Bronx,2,202,17,2005169,2026880048,BX33,85,,-73.90137806471634,40.81937522558501,"(40.81937522558501, -73.90137806471634)"
2003146-805-DCA,Business,12/31/2021,Active,02/03/2014,Tobacco Retail Dealer,BAGELS ON THE ISLAND CORP,,1180,FOREST AVE,,STATEN ISLAND,NY,10310,718-720-5827,Staten Island,5,501,49,5009720,5003540076,SI07,151,,-74.12942636021843,40.62650068885066,"(40.62650068885066, -74.12942636021843)"
1348053-DCA,Business,12/31/2021,Active,03/23/2010,Tobacco Retail Dealer,MOON CONVENIENCE & DELI INC.,,7402,NEW UTRECHT AVE,,BROOKLYN,NY,11204,347-312-3882,Brooklyn,3,311,43,3159556,3062140012,BK28,188,,-73.99975867003378,40.61648368593755,"(40.61648368593755, -73.99975867003378)"
1240101-DCA,Business,12/31/2021,Active,09/27/2006,Tobacco Retail Dealer,"BRANCO & BRANCO I, INC.",JUST DELICIOUS,80,VARICK ST,,NEW YORK,NY,10013,212-431-6161,Manhattan,1,102,01,1007118,1004770001,MN24,37,,-74.00620525818007,40.72321414039738,"(40.72321414039738, -74.00620525818007)"
2096204-1-DCA,Business,12/31/2021,Active,08/14/2020,Tobacco Retail Dealer,JUNCTION GROCERY & DISCOUNT STORE INC,,4910,JUNCTION BLVD,,ELMHURST,NY,11373,9294290109,Queens,4,404,25,4437285,4018770029,,,,-73.86750197378751,40.74200553296877,"(40.74200553296877, -73.86750197378751)"
1134342-DCA,Business,12/31/2022,Active,04/10/2003,Tobacco Retail Dealer,"PJS GROCERY, INC.",,230,E 14TH ST,,NEW YORK,NY,10003,212-614-8766,Manhattan,1,103,02,1006903,1004690023,MN22,40,,-73.98636808862267,40.73294091639632,"(40.73294091639632, -73.98636808862267)"
2090449-2-DCA,Business,12/31/2022,Active,09/11/2019,Tobacco Retail Dealer,USA MOES DELI INC,,9608,LIBERTY AVE,,OZONE PARK,NY,11417,7186661408,Queens,4,410,32,4191225,4091690001,QN56,4002,,-73.84284031742945,40.68063722170565,"(40.68063722170565, -73.84284031742945)"
2017356-2-DCA,Business,12/31/2022,Active,01/15/2015,Tobacco Retail Dealer,87TH ROAD MINI MARKET INC.,,14403,87TH RD,,JAMAICA,NY,11435,718-206-1145,Queens,4,408,24,4207354,4097030001,QN35,232,,-73.81161412280261,40.70606459083069,"(40.70606459083069, -73.81161412280261)"
1422155-DCA,Business,12/31/2022,Active,03/16/2012,Tobacco Retail Dealer,332 GROCERY STORE INC.,,332,SAINT ANNS AVE,,BRONX,NY,10454,718-665-5003,Bronx,2,201,08,2003685,2025560001,BX39,33,,-73.91596915796643,40.80912152231549,"(40.80912152231549, -73.91596915796643)"
1458678-DCA,Business,12/31/2022,Active,02/28/2013,Tobacco Retail Dealer,952 FOOD CORP,,952,4TH AVE,,BROOKLYN,NY,11232,718-965-7449,Brooklyn,3,307,38,3337060,3006960031,BK32,84,,-74.00451578429833,40.65423265728589,"(40.65423265728589, -74.00451578429833)"
2088278-2-DCA,Business,12/31/2022,Active,07/16/2019,Tobacco Retail Dealer,BUSHWICK DELI INC I,,1449,MYRTLE AVE,,BROOKLYN,NY,11237,718-386-4560,Brooklyn,3,304,37,3326381,3033000001,BK77,431,,-73.91794379070257,40.69885822813454,"(40.69885822813454, -73.91794379070257)"
1247634-DCA,Business,12/31/2022,Active,02/01/2007,Tobacco Retail Dealer,"RIGHT HERE CO., INC.",NICE DAY DISCOUNT,13687,ROOSEVELT AVE,,FLUSHING,NY,11354,718-445-2048,Queens,4,407,20,4308851,4049800050,QN22,871,,-73.82760726395954,40.760208075549095,"(40.760208075549095, -73.82760726395954)"
2022860-2-DCA,Business,12/31/2022,Active,05/15/2015,Tobacco Retail Dealer,ELIAN GROCERY CORP,,2689,PITKIN AVE,,BROOKLYN,NY,11208,347-663-7190,Brooklyn,3,305,42,3094678,3042120037,BK82,1196,,-73.87289081569378,40.67527262147232,"(40.67527262147232, -73.87289081569378)"
1276848-DCA,Business,12/31/2022,Active,02/01/2008,Tobacco Retail Dealer,TURCA GROCERY CORP,,1142,E 165TH ST,,BRONX,NY,10459,718-860-9944,Bronx,2,202,17,2006272,2027560080,BX27,119,,-73.88750899479169,40.825227994285406,"(40.825227994285406, -73.88750899479169)"
2096269-1-DCA,Business,12/31/2021,Active,08/24/2020,Tobacco Retail Dealer,DREAMERS DELI INC.,,969,SENECA AVE,,RIDGEWOOD,NY,11385,3474581536,Queens,4,405,34,4086219,4035730001,,,,-73.90244947058483,40.69971897496642,"(40.69971897496642, -73.90244947058483)"
2085155-2-DCA,Business,12/31/2022,Active,04/25/2019,Tobacco Retail Dealer,"523 DELI & GRILL, CORP",,523,GRAND ST,,NEW YORK,NY,10002,212-475-5936,Manhattan,1,103,01,1003742,1002880034,MN28,202,,-73.9820575856655,40.714572406424836,"(40.714572406424836, -73.9820575856655)"
1462664-DCA,Business,12/31/2022,Active,04/18/2013,Tobacco Retail Dealer,BORO PARK DELI GROCERY CORP,,4928,NEW UTRECHT AVE,,BROOKLYN,NY,11219,347-787-1789,Brooklyn,3,312,44,3137679,3056400044,BK88,220,,-73.99477923671975,40.636333888750734,"(40.636333888750734, -73.99477923671975)"
2056144-2-DCA,Business,12/31/2022,Active,07/24/2017,Tobacco Retail Dealer,15 ISLAND DELI GROCERY INC,,15,CORSON AVE,,STATEN ISLAND,NY,10301,718-720-5794,Staten Island,5,501,49,5089359,5000180073,SI22,11,,-74.07928652024391,40.63822527886045,"(40.63822527886045, -74.07928652024391)"
1471634-DCA,Business,12/31/2022,Active,08/16/2013,Tobacco Retail Dealer,8TH AVENUE TOBACCO AND MAGAZINE INC.,,334,9TH AVE,,NEW YORK,NY,10001,516-221-3527,Manhattan,1,104,03,1013465,1007530002,MN13,97,,-73.99847692611054,40.75038735005955,"(40.75038735005955, -73.99847692611054)"
1386926-DCA,Business,12/31/2022,Active,04/06/2011,Tobacco Retail Dealer,"581 MYRTLE AVE. FOOD, INC.",,596,MYRTLE AVE,,BROOKLYN,NY,11205,347-533-8500,Brooklyn,3,303,33,3054912,3019100028,BK69,193,,-73.96054171264953,40.69406639220073,"(40.69406639220073, -73.96054171264953)"
2056783-2-DCA,Business,12/31/2022,Active,08/08/2017,Tobacco Retail Dealer,FARMER IN THE DELI CORP.,,357,MYRTLE AVE,,BROOKLYN,NY,11205,718-875-9067,Brooklyn,3,302,35,3058117,3020450100,BK68,187,,-73.97172108159027,40.69321331431155,"(40.69321331431155, -73.97172108159027)"
1341526-DCA,Business,12/31/2022,Active,12/28/2009,Tobacco Retail Dealer,BAYCHESTER EXPRESS DELI INC.,,3929,BAYCHESTER AVE,,BRONX,NY,10466,718-325-7960,Bronx,2,212,12,2066572,2049540061,BX62,426,,-73.84219931901391,40.88905241300641,"(40.88905241300641, -73.84219931901391)"
2054922-2-DCA,Business,12/31/2022,Active,06/23/2017,Tobacco Retail Dealer,MAYIMBE GROCERY CORP,,200,STANTON ST,,NEW YORK,NY,10002,646-781-9334,Manhattan,1,103,02,1004146,1003450029,MN28,2201,,-73.9828750985277,40.719751893459026,"(40.719751893459026, -73.9828750985277)"
2049119-2-DCA,Business,12/31/2022,Active,03/06/2017,Tobacco Retail Dealer,STOP ONE DELI & GROCERY INC  II,,1222,BUSHWICK AVE,,BROOKLYN,NY,11221,646-919-8826,Brooklyn,3,304,37,3326211,3033940029,BK78,397,,-73.9152385846285,40.68783601640479,"(40.68783601640479, -73.9152385846285)"
2049410-2-DCA,Business,12/31/2022,Active,03/09/2017,Tobacco Retail Dealer,ASRA MINI MART AND DELI INC.,CORNER CONVEIENCE & GROCERY,2801,MIDDLETOWN RD,,BRONX,NY,10461,718-239-9761,Bronx,2,210,13,2045755,2041520003,BX10,26602,,-73.83667646295471,40.843471715995236,"(40.843471715995236, -73.83667646295471)"
1307096-DCA,Business,12/31/2022,Active,01/07/2009,Tobacco Retail Dealer,"BENJAMIN, FLORES",LA COSTENITA GROCERY,2175,2ND AVE,,NEW YORK,NY,10029,2124265691,Manhattan,1,111,08,1052504,1016610027,MN34,180,,-73.93979893910506,40.79424903012824,"(40.79424903012824, -73.93979893910506)"
1457672-DCA,Business,12/31/2022,Active,03/07/2013,Tobacco Retail Dealer,10413 JAMAICA CORP,FIVE STARS DELI GROCERY,10413,JAMAICA AVE,,RICHMOND HILL,NY,11418,7188460480,Queens,4,409,32,4192008,4092000044,QN54,26,,-73.8427194265643,40.69520632189288,"(40.69520632189288, -73.8427194265643)"
1064534-DCA,Business,12/31/2022,Active,10/23/2000,Tobacco Retail Dealer,LANTIGUA DELI CORP.,,3074,14TH ST,,ASTORIA,NY,11102,718-728-6540,Queens,4,401,22,4005707,4005170001,QN71,79,,-73.93137384777121,40.76906960673831,"(40.76906960673831, -73.93137384777121)"
2026273-2-DCA,Business,12/31/2022,Active,07/28/2015,Tobacco Retail Dealer,TEJADA GROCERY STORE CORPORATION,,78,WESTERVELT AVE,,STATEN ISLAND,NY,10301,718-727-2462,Staten Island,5,501,49,5001186,5000510188,SI22,7,,-74.0858357429976,40.64566443809583,"(40.64566443809583, -74.0858357429976)"
2058021-2-DCA,Business,12/31/2022,Active,09/11/2017,Tobacco Retail Dealer,"FIVE BROTHERS TRADING, INC.",Baker House Market,4107,CRESCENT ST,,LONG ISLAND CITY,NY,11101,7184722450,Queens,4,401,26,4005008,4004150020,QN68,33,,-73.9393174040281,40.75197979777911,"(40.75197979777911, -73.9393174040281)"
2047238-2-DCA,Business,12/31/2022,Active,01/10/2017,Tobacco Retail Dealer,CLINTON FRUIT MARKET INC.,,681,9TH AVE,,NEW YORK,NY,10036,646-998-3474,Manhattan,1,104,03,1026493,1010560036,MN15,127,,-73.99039075786746,40.76151690163327,"(40.76151690163327, -73.99039075786746)"
2023575-2-DCA,Business,12/31/2022,Active,06/01/2015,Tobacco Retail Dealer,"NIMU AT FOREST AVENUE, LLC",7 ELEVEN STORE,1252,FOREST AVE,,STATEN ISLAND,NY,10302,718-728-8280,Staten Island,5,501,49,5011123,5003880054,SI07,201,,-74.1316307455147,40.626330753762886,"(40.626330753762886, -74.1316307455147)"
1145336-DCA,Business,12/31/2022,Active,07/14/2003,Tobacco Retail Dealer,SMA DELI GROCERY CORP.,,2487,EASTCHESTER RD,,BRONX,NY,10469,718-829-3655,Bronx,2,211,13,2052900,2044770037,BX31,312,,-73.84339069676287,40.86232618642544,"(40.86232618642544, -73.84339069676287)"
2052324-2-DCA,Business,12/31/2022,Active,05/03/2017,Tobacco Retail Dealer,ALWAJIH DELI INC,,125,MALCOLM X BLVD,,BROOKLYN,NY,11221,347-320-4205,Brooklyn,3,303,36,3044525,3016320006,BK35,387,,-73.93029136718931,40.68918831241119,"(40.68918831241119, -73.93029136718931)"
1398208-DCA,Business,12/31/2022,Active,07/01/2011,Tobacco Retail Dealer,"180 MARKETPLACE, INC.",JUBILEE MARKET,180,RIVERSIDE BLVD,,NEW YORK,NY,10069,212-877-6000,Manhattan,1,107,06,1085805,1011710129,MN14,155,,-73.98848548648573,40.77838315223703,"(40.77838315223703, -73.98848548648573)"
1386246-DCA,Business,12/31/2022,Active,03/30/2011,Tobacco Retail Dealer,"ALROBAEY, JAMAL ALI MOHAMMED",BAY DELI & GROCERY,680,BAY ST,,STATEN ISLAND,NY,10304,3474480490,Staten Island,5,501,49,5113098,5005280034,SI37,27,,-74.07494478655275,40.62541002406252,"(40.62541002406252, -74.07494478655275)"
2022212-2-DCA,Business,12/31/2022,Active,05/05/2015,Tobacco Retail Dealer,K & M EXPRESS DELI INC,,728,ROGERS AVE,,BROOKLYN,NY,11226,7187039607,Brooklyn,3,317,40,3116658,3050840056,BK60,822,,-73.9527883661536,40.653556074343776,"(40.653556074343776, -73.9527883661536)"
2088324-2-DCA,Business,12/31/2022,Active,07/16/2019,Tobacco Retail Dealer,SHIVALAY DELI INC,,7106,KISSENA BLVD,,FLUSHING,NY,11367,3478863924,Queens,4,408,24,4144882,4066980001,QN37,77906,,-73.81518138267809,40.72942833272947,"(40.72942833272947, -73.81518138267809)"
2091077-2-DCA,Business,12/31/2022,Active,10/02/2019,Tobacco Retail Dealer,MAHANT 385 INC,,385,CANAL ST,,NEW YORK,NY,10013,3477011924,Manhattan,1,102,01,1002937,1002270003,MN24,47,,-74.00476565638944,40.72144932942196,"(40.72144932942196, -74.00476565638944)"
2084482-2-DCA,Business,12/31/2022,Active,04/10/2019,Tobacco Retail Dealer,SOSO DELIGHT FOOD & GROCERY CORP,,448,HUDSON ST,,NEW YORK,NY,10014,718-836-3320,Manhattan,1,102,03,1077817,1005847501,MN23,67,,-74.00667506657243,40.73126448473732,"(40.73126448473732, -74.00667506657243)"
2057389-2-DCA,Business,12/31/2022,Active,08/23/2017,Tobacco Retail Dealer,DAY & NIGHT DELI GROCERY CORP I,,73,BUSHWICK AVE,,BROOKLYN,NY,11211,718-486-3800,Brooklyn,3,301,34,3070384,3029190001,BK90,481,,-73.94108452809672,40.712771889162674,"(40.712771889162674, -73.94108452809672)"
2026192-2-DCA,Business,12/31/2022,Active,07/27/2015,Tobacco Retail Dealer,UNCLE & COUSINS DELI GROCERY CORP,,9706,SEAVIEW AVE,,BROOKLYN,NY,11236,718-531-6333,Brooklyn,3,318,46,3235260,3083290001,BK50,1034,,-73.88940944971365,40.63397520269555,"(40.63397520269555, -73.88940944971365)"
2020446-2-DCA,Business,12/31/2022,Active,04/03/2015,Tobacco Retail Dealer,MV QUICK FOOD CORP,,2875,W 8TH ST,,BROOKLYN,NY,11224,718-946-8807,Brooklyn,3,313,48,3196590,3072790153,BK23,354,,-73.97631993815637,40.57843285579472,"(40.57843285579472, -73.97631993815637)"
